timestamp,name,free_spaces,max_spaces,occupied_spaces
07112023-1521,Westanlage,217,235,18
09112023-1645,Westanlage,217,235,18
25102023-1545,Westanlage,217,235,18
17112023-1446,Westanlage,217,235,18
03112023-0945,Westanlage,217,235,18
13112023-1921,Westanlage,217,235,18
19112023-1250,Westanlage,0,0,0
05112023-2011,Westanlage,0,0,0
30102023-1734,Westanlage,217,235,18
15112023-1204,Westanlage,217,235,18
08112023-1541,Westanlage,217,235,18
29102023-1451,Westanlage,0,0,0
16112023-1930,Westanlage,217,235,18
28102023-1339,Westanlage,217,235,18
28102023-1935,Westanlage,217,235,18
16112023-2009,Westanlage,217,235,18
10112023-1231,Westanlage,217,235,18
12112023-1900,Westanlage,0,0,0
16112023-1614,Westanlage,217,235,18
08112023-1235,Westanlage,217,235,18
28102023-1746,Westanlage,217,235,18
08112023-1225,Westanlage,217,235,18
14112023-1931,Westanlage,217,235,18
14112023-1220,Westanlage,217,235,18
07112023-1825,Westanlage,217,235,18
24102023-2050,Westanlage,217,235,18
25102023-1555,Westanlage,217,235,18
18112023-1839,Westanlage,217,235,18
10112023-1730,Westanlage,217,235,18
06112023-1015,Westanlage,217,235,18
26102023-1925,Westanlage,217,235,18
27102023-1625,Westanlage,217,235,18
14112023-1120,Westanlage,217,235,18
06112023-1844,Westanlage,217,235,18
11112023-1625,Westanlage,217,235,18
05112023-1835,Westanlage,0,0,0
17112023-1430,Westanlage,217,235,18
10112023-1210,Westanlage,217,235,18
15112023-1845,Westanlage,217,235,18
08112023-1000,Westanlage,217,235,18
26102023-1139,Westanlage,217,235,18
25102023-1720,Westanlage,217,235,18
19112023-1044,Westanlage,0,0,0
31102023-1840,Westanlage,217,235,18
12112023-1439,Westanlage,0,0,0
18112023-1605,Westanlage,217,235,18
30102023-1021,Westanlage,217,235,18
15112023-1210,Westanlage,217,235,18
05112023-2025,Westanlage,0,0,0
25102023-2005,Westanlage,217,235,18
04112023-0905,Westanlage,217,235,18
02112023-1151,Westanlage,217,235,18
27102023-1720,Westanlage,217,235,18
15112023-1545,Westanlage,217,235,18
25102023-1950,Westanlage,217,235,18
06112023-1055,Westanlage,217,235,18
09112023-2030,Westanlage,217,235,18
09112023-1126,Westanlage,217,235,18
03112023-1014,Westanlage,217,235,18
25102023-1620,Westanlage,217,235,18
08112023-1820,Westanlage,217,235,18
29102023-1500,Westanlage,0,0,0
09112023-1651,Westanlage,217,235,18
31102023-1150,Westanlage,217,235,18
26102023-1935,Westanlage,217,235,18
27102023-1435,Westanlage,217,235,18
11112023-1429,Westanlage,217,235,18
20112023-1545,Westanlage,217,235,18
04112023-1311,Westanlage,217,235,18
11112023-1451,Westanlage,217,235,18
14112023-1515,Westanlage,217,235,18
16112023-1650,Westanlage,217,235,18
29102023-1845,Westanlage,0,0,0
12112023-1720,Westanlage,0,0,0
31102023-1740,Westanlage,217,235,18
26102023-1249,Westanlage,217,235,18
08112023-1544,Westanlage,217,235,18
29102023-1241,Westanlage,0,0,0
31102023-0906,Westanlage,217,235,18
17112023-1421,Westanlage,217,235,18
16112023-1000,Westanlage,217,235,18
20112023-1501,Westanlage,217,235,18
30102023-1105,Westanlage,217,235,18
06112023-1445,Westanlage,217,235,18
09112023-2034,Westanlage,217,235,18
25102023-1550,Westanlage,217,235,18
19112023-1315,Westanlage,0,0,0
11112023-1020,Westanlage,217,235,18
18112023-1415,Westanlage,217,235,18
14112023-1249,Westanlage,217,235,18
02112023-0920,Westanlage,217,235,18
29102023-2020,Westanlage,0,0,0
10112023-1950,Westanlage,217,235,18
11112023-1901,Westanlage,217,235,18
10112023-1150,Westanlage,217,235,18
20112023-1355,Westanlage,217,235,18
01112023-1049,Westanlage,217,235,18
15112023-0951,Westanlage,217,235,18
01112023-0920,Westanlage,217,235,18
15112023-2049,Westanlage,217,235,18
11112023-2046,Westanlage,217,235,18
04112023-1820,Westanlage,217,235,18
13112023-1734,Westanlage,217,235,18
02112023-1250,Westanlage,217,235,18
06112023-1030,Westanlage,217,235,18
25102023-1931,Westanlage,217,235,18
20112023-1045,Westanlage,217,235,18
31102023-2100,Westanlage,0,0,0
16112023-1940,Westanlage,217,235,18
06112023-1945,Westanlage,217,235,18
17112023-1849,Westanlage,217,235,18
03112023-1424,Westanlage,217,235,18
03112023-1124,Westanlage,217,235,18
16112023-2000,Westanlage,217,235,18
30102023-1336,Westanlage,217,235,18
26102023-1415,Westanlage,217,235,18
25102023-1735,Westanlage,217,235,18
01112023-1045,Westanlage,217,235,18
31102023-1556,Westanlage,217,235,18
13112023-1954,Westanlage,217,235,18
04112023-1530,Westanlage,217,235,18
28102023-1451,Westanlage,217,235,18
29102023-0956,Westanlage,0,0,0
04112023-1131,Westanlage,217,235,18
29102023-1944,Westanlage,0,0,0
02112023-1044,Westanlage,217,235,18
30102023-1519,Westanlage,217,235,18
29102023-1535,Westanlage,0,0,0
06112023-1141,Westanlage,217,235,18
16112023-1920,Westanlage,217,235,18
04112023-1031,Westanlage,217,235,18
31102023-1335,Westanlage,217,235,18
19112023-2040,Westanlage,0,0,0
31102023-1046,Westanlage,217,235,18
18112023-1214,Westanlage,217,235,18
28102023-1626,Westanlage,217,235,18
20112023-1730,Westanlage,217,235,18
09112023-1550,Westanlage,217,235,18
08112023-1641,Westanlage,217,235,18
27102023-0931,Westanlage,217,235,18
07112023-1640,Westanlage,217,235,18
03112023-1036,Westanlage,217,235,18
08112023-1525,Westanlage,217,235,18
10112023-1059,Westanlage,217,235,18
27102023-2025,Westanlage,217,235,18
26102023-0920,Westanlage,217,235,18
26102023-1340,Westanlage,217,235,18
05112023-1815,Westanlage,0,0,0
12112023-1811,Westanlage,0,0,0
15112023-1030,Westanlage,217,235,18
30102023-1040,Westanlage,217,235,18
16112023-1849,Westanlage,217,235,18
17112023-0951,Westanlage,217,235,18
05112023-1200,Westanlage,0,0,0
14112023-2051,Westanlage,217,235,18
31102023-2029,Westanlage,217,235,18
01112023-1535,Westanlage,217,235,18
11112023-1415,Westanlage,217,235,18
01112023-2015,Westanlage,217,235,18
04112023-1850,Westanlage,217,235,18
26102023-1735,Westanlage,217,235,18
26102023-1751,Westanlage,217,235,18
08112023-1751,Westanlage,217,235,18
06112023-1646,Westanlage,217,235,18
11112023-1550,Westanlage,217,235,18
28102023-1920,Westanlage,217,235,18
05112023-1730,Westanlage,0,0,0
10112023-2021,Westanlage,217,235,18
27102023-2015,Westanlage,217,235,18
19112023-1200,Westanlage,0,0,0
30102023-1619,Westanlage,217,235,18
12112023-1545,Westanlage,0,0,0
12112023-1445,Westanlage,0,0,0
07112023-1120,Westanlage,217,235,18
05112023-1235,Westanlage,0,0,0
20112023-1809,Westanlage,217,235,18
13112023-1145,Westanlage,217,235,18
11112023-1916,Westanlage,217,235,18
26102023-1239,Westanlage,217,235,18
02112023-1821,Westanlage,217,235,18
06112023-1850,Westanlage,217,235,18
17112023-1020,Westanlage,217,235,18
10112023-1430,Westanlage,217,235,18
06112023-1025,Westanlage,217,235,18
25102023-1820,Westanlage,217,235,18
15112023-1659,Westanlage,217,235,18
03112023-1149,Westanlage,217,235,18
06112023-1555,Westanlage,217,235,18
06112023-1611,Westanlage,217,235,18
19112023-1915,Westanlage,0,0,0
26102023-1550,Westanlage,217,235,18
26102023-1045,Westanlage,217,235,18
12112023-0926,Westanlage,0,0,0
04112023-1750,Westanlage,217,235,18
06112023-1900,Westanlage,217,235,18
02112023-1601,Westanlage,217,235,18
04112023-2040,Westanlage,217,235,18
27102023-1331,Westanlage,217,235,18
12112023-1955,Westanlage,0,0,0
25102023-1845,Westanlage,217,235,18
18112023-1250,Westanlage,217,235,18
19112023-1940,Westanlage,0,0,0
29102023-1429,Westanlage,0,0,0
12112023-0945,Westanlage,0,0,0
20112023-1224,Westanlage,217,235,18
04112023-1420,Westanlage,217,235,18
11112023-1519,Westanlage,217,235,18
29102023-1510,Westanlage,0,0,0
04112023-2010,Westanlage,217,235,18
31102023-1735,Westanlage,217,235,18
15112023-1520,Westanlage,217,235,18
08112023-0924,Westanlage,217,235,18
26102023-1300,Westanlage,217,235,18
18112023-1150,Westanlage,217,235,18
11112023-1940,Westanlage,217,235,18
10112023-2016,Westanlage,217,235,18
14112023-1215,Westanlage,217,235,18
01112023-2045,Westanlage,217,235,18
17112023-1441,Westanlage,217,235,18
01112023-1351,Westanlage,217,235,18
13112023-1725,Westanlage,217,235,18
03112023-2056,Westanlage,217,235,18
20112023-1005,Westanlage,217,235,18
12112023-0956,Westanlage,0,0,0
16112023-1120,Westanlage,217,235,18
31102023-0936,Westanlage,217,235,18
14112023-1005,Westanlage,217,235,18
20112023-2024,Westanlage,217,235,18
20112023-1935,Westanlage,217,235,18
08112023-1019,Westanlage,217,235,18
25102023-1505,Westanlage,217,235,18
26102023-0931,Westanlage,217,235,18
27102023-1100,Westanlage,217,235,18
08112023-2050,Westanlage,217,235,18
30102023-1135,Westanlage,217,235,18
30102023-1945,Westanlage,217,235,18
03112023-1545,Westanlage,217,235,18
16112023-1050,Westanlage,217,235,18
05112023-1240,Westanlage,0,0,0
06112023-2020,Westanlage,217,235,18
14112023-2005,Westanlage,217,235,18
10112023-1800,Westanlage,217,235,18
26102023-2041,Westanlage,217,235,18
06112023-1045,Westanlage,217,235,18
31102023-1950,Westanlage,217,235,18
11112023-1130,Westanlage,217,235,18
08112023-2015,Westanlage,217,235,18
20112023-1240,Westanlage,217,235,18
02112023-1826,Westanlage,217,235,18
14112023-1816,Westanlage,217,235,18
11112023-1525,Westanlage,217,235,18
15112023-1936,Westanlage,217,235,18
02112023-1435,Westanlage,217,235,18
09112023-1240,Westanlage,217,235,18
18112023-1431,Westanlage,217,235,18
04112023-1235,Westanlage,217,235,18
06112023-1815,Westanlage,217,235,18
20112023-1414,Westanlage,217,235,18
13112023-1540,Westanlage,217,235,18
05112023-1950,Westanlage,0,0,0
19112023-2025,Westanlage,0,0,0
05112023-1650,Westanlage,0,0,0
01112023-2010,Westanlage,217,235,18
31102023-1650,Westanlage,217,235,18
05112023-1105,Westanlage,0,0,0
20112023-1840,Westanlage,217,235,18
08112023-1230,Westanlage,217,235,18
29102023-0906,Westanlage,0,0,0
11112023-2040,Westanlage,217,235,18
25102023-2046,Westanlage,217,235,18
11112023-1820,Westanlage,217,235,18
03112023-1145,Westanlage,217,235,18
