timestamp,name,free_spaces,max_spaces,occupied_spaces
08112023-1120,Liebig-Center,235,250,15
18112023-1621,Liebig-Center,240,250,10
12112023-0901,Liebig-Center,244,250,6
26102023-1635,Liebig-Center,239,250,11
02112023-1334,Liebig-Center,234,250,16
13112023-1250,Liebig-Center,242,250,8
20112023-2050,Liebig-Center,238,250,12
29102023-1650,Liebig-Center,240,250,10
28102023-1735,Liebig-Center,245,250,5
14112023-1131,Liebig-Center,228,250,22
28102023-2051,Liebig-Center,243,250,7
05112023-1820,Liebig-Center,241,250,9
28102023-1801,Liebig-Center,245,250,5
30102023-1426,Liebig-Center,242,250,8
19112023-1435,Liebig-Center,236,250,14
13112023-1051,Liebig-Center,239,250,11
07112023-1521,Liebig-Center,239,250,11
09112023-1645,Liebig-Center,243,250,7
25102023-1545,Liebig-Center,239,250,11
17112023-1446,Liebig-Center,236,250,14
03112023-0945,Liebig-Center,242,250,8
13112023-1921,Liebig-Center,243,250,7
19112023-1250,Liebig-Center,239,250,11
05112023-2011,Liebig-Center,241,250,9
30102023-1734,Liebig-Center,243,250,7
15112023-1204,Liebig-Center,236,250,14
08112023-1541,Liebig-Center,234,250,16
29102023-1451,Liebig-Center,239,250,11
16112023-1930,Liebig-Center,238,250,12
28102023-1339,Liebig-Center,242,250,8
28102023-1935,Liebig-Center,243,250,7
16112023-2009,Liebig-Center,239,250,11
10112023-1231,Liebig-Center,236,250,14
12112023-1900,Liebig-Center,243,250,7
16112023-1614,Liebig-Center,237,250,13
08112023-1235,Liebig-Center,235,250,15
28102023-1746,Liebig-Center,245,250,5
08112023-1225,Liebig-Center,235,250,15
14112023-1931,Liebig-Center,241,250,9
14112023-1220,Liebig-Center,230,250,20
07112023-1825,Liebig-Center,241,250,9
24102023-2050,Liebig-Center,245,250,5
25102023-1555,Liebig-Center,239,250,11
18112023-1839,Liebig-Center,241,250,9
10112023-1730,Liebig-Center,240,250,10
06112023-1015,Liebig-Center,238,250,12
26102023-1925,Liebig-Center,242,250,8
27102023-1625,Liebig-Center,236,250,14
14112023-1120,Liebig-Center,227,250,23
06112023-1844,Liebig-Center,243,250,7
11112023-1625,Liebig-Center,242,250,8
05112023-1835,Liebig-Center,243,250,7
17112023-1430,Liebig-Center,236,250,14
10112023-1210,Liebig-Center,238,250,12
15112023-1845,Liebig-Center,241,250,9
08112023-1000,Liebig-Center,234,250,16
26102023-1139,Liebig-Center,242,250,8
25102023-1720,Liebig-Center,242,250,8
19112023-1044,Liebig-Center,241,250,9
31102023-1840,Liebig-Center,244,250,6
12112023-1439,Liebig-Center,242,250,8
18112023-1605,Liebig-Center,240,250,10
30102023-1021,Liebig-Center,239,250,11
15112023-1210,Liebig-Center,236,250,14
05112023-2025,Liebig-Center,241,250,9
25102023-2005,Liebig-Center,244,250,6
04112023-0905,Liebig-Center,244,250,6
02112023-1151,Liebig-Center,231,250,19
