timestamp,name,free_spaces,max_spaces,occupied_spaces
29102023-1650,Selters Tor,136,158,22
28102023-1735,Selters Tor,104,158,54
14112023-1131,Selters Tor,8,158,150
28102023-2051,Selters Tor,140,158,18
05112023-1820,Selters Tor,141,158,17
28102023-1801,Selters Tor,112,158,46
30102023-1426,Selters Tor,57,158,101
19112023-1435,Selters Tor,147,158,11
13112023-1051,Selters Tor,3,158,155
07112023-1521,Selters Tor,44,158,114
09112023-1645,Selters Tor,56,158,102
25102023-1545,Selters Tor,70,158,88
17112023-1446,Selters Tor,68,158,90
03112023-0945,Selters Tor,44,158,114
13112023-1921,Selters Tor,134,158,24
19112023-1250,Selters Tor,145,158,13
05112023-2011,Selters Tor,148,158,10
30102023-1734,Selters Tor,92,158,66
15112023-1204,Selters Tor,26,158,132
08112023-1541,Selters Tor,87,158,71
29102023-1451,Selters Tor,146,158,12
16112023-1930,Selters Tor,132,158,26
28102023-1339,Selters Tor,95,158,63
28102023-1935,Selters Tor,138,158,20
16112023-2009,Selters Tor,131,158,27
10112023-1231,Selters Tor,46,158,112
12112023-1900,Selters Tor,147,158,11
16112023-1614,Selters Tor,57,158,101
08112023-1235,Selters Tor,39,158,119
28102023-1746,Selters Tor,108,158,50
08112023-1225,Selters Tor,39,158,119
14112023-1931,Selters Tor,128,158,30
14112023-1220,Selters Tor,17,158,141
07112023-1825,Selters Tor,116,158,42
24102023-2050,Selters Tor,153,158,5
25102023-1555,Selters Tor,70,158,88
18112023-1839,Selters Tor,130,158,28
10112023-1730,Selters Tor,113,158,45
06112023-1015,Selters Tor,42,158,116
26102023-1925,Selters Tor,139,158,19
27102023-1625,Selters Tor,108,158,50
14112023-1120,Selters Tor,9,158,149
06112023-1844,Selters Tor,125,158,33
11112023-1625,Selters Tor,97,158,61
05112023-1835,Selters Tor,140,158,18
17112023-1430,Selters Tor,67,158,91
10112023-1210,Selters Tor,45,158,113
15112023-1845,Selters Tor,130,158,28
08112023-1000,Selters Tor,26,158,132
26102023-1139,Selters Tor,39,158,119
25102023-1720,Selters Tor,92,158,66
19112023-1044,Selters Tor,147,158,11
31102023-1840,Selters Tor,119,158,39
12112023-1439,Selters Tor,143,158,15
18112023-1605,Selters Tor,71,158,87
30102023-1021,Selters Tor,36,158,122
15112023-1210,Selters Tor,31,158,127
05112023-2025,Selters Tor,149,158,9
25102023-2005,Selters Tor,139,158,19
04112023-0905,Selters Tor,145,158,13
02112023-1151,Selters Tor,15,158,143
27102023-1720,Selters Tor,117,158,41
15112023-1545,Selters Tor,58,158,100
25102023-1950,Selters Tor,136,158,22
06112023-1055,Selters Tor,38,158,120
09112023-2030,Selters Tor,140,158,18
09112023-1126,Selters Tor,21,158,137
03112023-1014,Selters Tor,31,158,127
25102023-1620,Selters Tor,74,158,84
08112023-1820,Selters Tor,104,158,54
29102023-1500,Selters Tor,145,158,13
09112023-1651,Selters Tor,60,158,98
31102023-1150,Selters Tor,35,158,123
26102023-1935,Selters Tor,142,158,16
27102023-1435,Selters Tor,96,158,62
11112023-1429,Selters Tor,93,158,65
20112023-1545,Selters Tor,34,158,124
04112023-1311,Selters Tor,88,158,70
11112023-1451,Selters Tor,95,158,63
14112023-1515,Selters Tor,19,158,139
16112023-1650,Selters Tor,72,158,86
29102023-1845,Selters Tor,145,158,13
12112023-1720,Selters Tor,139,158,19
31102023-1740,Selters Tor,86,158,72
26102023-1249,Selters Tor,40,158,118
08112023-1544,Selters Tor,86,158,72
29102023-1241,Selters Tor,144,158,14
31102023-0906,Selters Tor,52,158,106
17112023-1421,Selters Tor,68,158,90
16112023-1000,Selters Tor,33,158,125
20112023-1501,Selters Tor,17,158,141
30102023-1105,Selters Tor,29,158,129
06112023-1445,Selters Tor,33,158,125
09112023-2034,Selters Tor,140,158,18
25102023-1550,Selters Tor,71,158,87
19112023-1315,Selters Tor,144,158,14
11112023-1020,Selters Tor,133,158,25
18112023-1415,Selters Tor,69,158,89
14112023-1249,Selters Tor,23,158,135
02112023-0920,Selters Tor,52,158,106
29102023-2020,Selters Tor,148,158,10
10112023-1950,Selters Tor,125,158,33
11112023-1901,Selters Tor,142,158,16
10112023-1150,Selters Tor,44,158,114
20112023-1355,Selters Tor,18,158,140
