timestamp,name,free_spaces,max_spaces,occupied_spaces
07112023-1521,Karstadt,510,695,185
09112023-1645,Karstadt,530,695,165
25102023-1545,Karstadt,414,695,281
17112023-1446,Karstadt,499,695,196
03112023-0945,Karstadt,586,695,109
13112023-1921,Karstadt,654,695,41
19112023-1250,Karstadt,0,0,0
05112023-2011,Karstadt,0,0,0
30102023-1734,Karstadt,569,695,126
15112023-1204,Karstadt,438,695,257
08112023-1541,Karstadt,516,695,179
29102023-1451,Karstadt,0,0,0
16112023-1930,Karstadt,0,0,0
28102023-1339,Karstadt,397,695,298
28102023-1935,Karstadt,0,0,0
16112023-2009,Karstadt,0,0,0
10112023-1231,Karstadt,468,695,227
12112023-1900,Karstadt,0,0,0
16112023-1614,Karstadt,491,695,204
08112023-1235,Karstadt,429,695,266
28102023-1746,Karstadt,397,695,298
08112023-1225,Karstadt,429,695,266
14112023-1931,Karstadt,0,0,0
14112023-1220,Karstadt,494,695,201
07112023-1825,Karstadt,621,695,74
24102023-2050,Karstadt,0,0,0
25102023-1555,Karstadt,415,695,280
18112023-1839,Karstadt,0,0,0
10112023-1730,Karstadt,545,695,150
06112023-1015,Karstadt,534,695,161
26102023-1925,Karstadt,597,695,98
27102023-1625,Karstadt,408,695,287
14112023-1120,Karstadt,455,695,240
06112023-1844,Karstadt,645,695,50
11112023-1625,Karstadt,422,695,273
05112023-1835,Karstadt,0,0,0
17112023-1430,Karstadt,497,695,198
10112023-1210,Karstadt,462,695,233
15112023-1845,Karstadt,622,695,73
08112023-1000,Karstadt,530,695,165
26102023-1139,Karstadt,382,695,313
25102023-1720,Karstadt,472,695,223
19112023-1044,Karstadt,0,0,0
31102023-1840,Karstadt,653,695,42
12112023-1439,Karstadt,0,0,0
18112023-1605,Karstadt,362,695,333
30102023-1021,Karstadt,530,695,165
15112023-1210,Karstadt,442,695,253
05112023-2025,Karstadt,0,0,0
25102023-2005,Karstadt,0,0,0
04112023-0905,Karstadt,661,695,34
02112023-1151,Karstadt,464,695,231
27102023-1720,Karstadt,432,695,263
15112023-1545,Karstadt,514,695,181
25102023-1950,Karstadt,0,0,0
06112023-1055,Karstadt,487,695,208
09112023-2030,Karstadt,0,0,0
09112023-1126,Karstadt,459,695,236
03112023-1014,Karstadt,552,695,143
25102023-1620,Karstadt,426,695,269
08112023-1820,Karstadt,612,695,83
29102023-1500,Karstadt,0,0,0
09112023-1651,Karstadt,532,695,163
31102023-1150,Karstadt,480,695,215
26102023-1935,Karstadt,0,0,0
27102023-1435,Karstadt,388,695,307
11112023-1429,Karstadt,347,695,348
20112023-1545,Karstadt,455,695,240
04112023-1311,Karstadt,360,695,335
11112023-1451,Karstadt,344,695,351
14112023-1515,Karstadt,484,695,211
16112023-1650,Karstadt,518,695,177
29102023-1845,Karstadt,0,0,0
12112023-1720,Karstadt,0,0,0
31102023-1740,Karstadt,604,695,91
26102023-1249,Karstadt,371,695,324
08112023-1544,Karstadt,512,695,183
29102023-1241,Karstadt,0,0,0
31102023-0906,Karstadt,634,695,61
17112023-1421,Karstadt,500,695,195
16112023-1000,Karstadt,544,695,151
20112023-1501,Karstadt,454,695,241
30102023-1105,Karstadt,476,695,219
06112023-1445,Karstadt,503,695,192
09112023-2034,Karstadt,0,0,0
25102023-1550,Karstadt,416,695,279
19112023-1315,Karstadt,0,0,0
11112023-1020,Karstadt,524,695,171
18112023-1415,Karstadt,324,695,371
14112023-1249,Karstadt,496,695,199
02112023-0920,Karstadt,623,695,72
29102023-2020,Karstadt,0,0,0
10112023-1950,Karstadt,0,0,0
11112023-1901,Karstadt,0,0,0
10112023-1150,Karstadt,459,695,236
20112023-1355,Karstadt,464,695,231
01112023-1049,Karstadt,459,695,236
15112023-0951,Karstadt,560,695,135
01112023-0920,Karstadt,615,695,80
15112023-2049,Karstadt,0,0,0
11112023-2046,Karstadt,0,0,0
04112023-1820,Karstadt,629,695,66
13112023-1734,Karstadt,566,695,129
02112023-1250,Karstadt,486,695,209
06112023-1030,Karstadt,506,695,189
25102023-1931,Karstadt,0,0,0
20112023-1045,Karstadt,462,695,233
31102023-2100,Karstadt,0,0,0
16112023-1940,Karstadt,0,0,0
06112023-1945,Karstadt,0,0,0
17112023-1849,Karstadt,599,695,96
03112023-1424,Karstadt,519,695,176
03112023-1124,Karstadt,496,695,199
16112023-2000,Karstadt,0,0,0
30102023-1336,Karstadt,512,695,183
26102023-1415,Karstadt,397,695,298
25102023-1735,Karstadt,473,695,222
01112023-1045,Karstadt,470,695,225
31102023-1556,Karstadt,537,695,158
13112023-1954,Karstadt,0,0,0
04112023-1530,Karstadt,392,695,303
28102023-1451,Karstadt,397,695,298
29102023-0956,Karstadt,0,0,0
04112023-1131,Karstadt,412,695,283
29102023-1944,Karstadt,0,0,0
02112023-1044,Karstadt,498,695,197
30102023-1519,Karstadt,506,695,189
29102023-1535,Karstadt,0,0,0
06112023-1141,Karstadt,495,695,200
16112023-1920,Karstadt,655,695,40
04112023-1031,Karstadt,520,695,175
31102023-1335,Karstadt,511,695,184
19112023-2040,Karstadt,0,0,0
31102023-1046,Karstadt,526,695,169
18112023-1214,Karstadt,353,695,342
28102023-1626,Karstadt,397,695,298
20112023-1730,Karstadt,523,695,172
09112023-1550,Karstadt,501,695,194
08112023-1641,Karstadt,538,695,157
27102023-0931,Karstadt,541,695,154
07112023-1640,Karstadt,525,695,170
03112023-1036,Karstadt,524,695,171
08112023-1525,Karstadt,507,695,188
10112023-1059,Karstadt,478,695,217
27102023-2025,Karstadt,0,0,0
26102023-0920,Karstadt,544,695,151
26102023-1340,Karstadt,376,695,319
05112023-1815,Karstadt,0,0,0
12112023-1811,Karstadt,0,0,0
15112023-1030,Karstadt,518,695,177
30102023-1040,Karstadt,504,695,191
16112023-1849,Karstadt,621,695,74
17112023-0951,Karstadt,559,695,136
05112023-1200,Karstadt,0,0,0
14112023-2051,Karstadt,0,0,0
31102023-2029,Karstadt,0,0,0
01112023-1535,Karstadt,465,695,230
11112023-1415,Karstadt,354,695,341
01112023-2015,Karstadt,0,0,0
04112023-1850,Karstadt,0,0,0
26102023-1735,Karstadt,475,695,220
26102023-1751,Karstadt,483,695,212
08112023-1751,Karstadt,587,695,108
06112023-1646,Karstadt,539,695,156
11112023-1550,Karstadt,389,695,306
28102023-1920,Karstadt,0,0,0
05112023-1730,Karstadt,0,0,0
10112023-2021,Karstadt,0,0,0
27102023-2015,Karstadt,0,0,0
19112023-1200,Karstadt,0,0,0
30102023-1619,Karstadt,528,695,167
12112023-1545,Karstadt,0,0,0
12112023-1445,Karstadt,0,0,0
07112023-1120,Karstadt,476,695,219
05112023-1235,Karstadt,0,0,0
20112023-1809,Karstadt,556,695,139
13112023-1145,Karstadt,465,695,230
11112023-1916,Karstadt,0,0,0
26102023-1239,Karstadt,375,695,320
02112023-1821,Karstadt,615,695,80
06112023-1850,Karstadt,648,695,47
17112023-1020,Karstadt,509,695,186
10112023-1430,Karstadt,503,695,192
06112023-1025,Karstadt,515,695,180
25102023-1820,Karstadt,530,695,165
15112023-1659,Karstadt,525,695,170
03112023-1149,Karstadt,486,695,209
06112023-1555,Karstadt,507,695,188
06112023-1611,Karstadt,521,695,174
19112023-1915,Karstadt,0,0,0
26102023-1550,Karstadt,399,695,296
26102023-1045,Karstadt,415,695,280
12112023-0926,Karstadt,0,0,0
04112023-1750,Karstadt,567,695,128
06112023-1900,Karstadt,658,695,37
02112023-1601,Karstadt,521,695,174
04112023-2040,Karstadt,0,0,0
27102023-1331,Karstadt,378,695,317
12112023-1955,Karstadt,0,0,0
25102023-1845,Karstadt,559,695,136
18112023-1250,Karstadt,341,695,354
19112023-1940,Karstadt,0,0,0
29102023-1429,Karstadt,0,0,0
12112023-0945,Karstadt,0,0,0
20112023-1224,Karstadt,426,695,269
04112023-1420,Karstadt,373,695,322
11112023-1519,Karstadt,370,695,325
29102023-1510,Karstadt,0,0,0
04112023-2010,Karstadt,0,0,0
31102023-1735,Karstadt,601,695,94
15112023-1520,Karstadt,507,695,188
08112023-0924,Karstadt,601,695,94
26102023-1300,Karstadt,367,695,328
18112023-1150,Karstadt,373,695,322
