timestamp,name,free_spaces,max_spaces,occupied_spaces
31102023-1230,NeustÃ€dter Tor,315,870,555
17112023-2101,NeustÃ€dter Tor,680,870,190
31102023-1221,NeustÃ€dter Tor,311,870,559
08112023-1044,NeustÃ€dter Tor,305,870,565
06112023-1135,NeustÃ€dter Tor,286,870,584
30102023-1644,NeustÃ€dter Tor,490,870,380
11112023-0906,NeustÃ€dter Tor,761,870,109
20112023-1900,NeustÃ€dter Tor,594,870,276
18112023-1031,NeustÃ€dter Tor,438,870,432
29102023-2036,NeustÃ€dter Tor,790,870,80
04112023-1440,NeustÃ€dter Tor,144,870,726
10112023-1740,NeustÃ€dter Tor,455,870,415
19112023-1546,NeustÃ€dter Tor,742,870,128
10112023-0949,NeustÃ€dter Tor,458,870,412
04112023-1839,NeustÃ€dter Tor,539,870,331
02112023-1231,NeustÃ€dter Tor,293,870,577
03112023-1441,NeustÃ€dter Tor,423,870,447
29102023-1721,NeustÃ€dter Tor,783,870,87
30102023-1050,NeustÃ€dter Tor,278,870,592
15112023-1041,NeustÃ€dter Tor,219,870,651
16112023-1145,NeustÃ€dter Tor,228,870,642
30102023-0919,NeustÃ€dter Tor,471,870,399
12112023-1711,NeustÃ€dter Tor,765,870,105
15112023-0946,NeustÃ€dter Tor,356,870,514
19112023-0935,NeustÃ€dter Tor,782,870,88
15112023-1155,NeustÃ€dter Tor,161,870,709
02112023-1430,NeustÃ€dter Tor,479,870,391
17112023-1734,NeustÃ€dter Tor,411,870,459
16112023-2050,NeustÃ€dter Tor,647,870,223
08112023-1120,NeustÃ€dter Tor,274,870,596
18112023-1621,NeustÃ€dter Tor,42,870,828
12112023-0901,NeustÃ€dter Tor,818,870,52
26102023-1635,NeustÃ€dter Tor,436,870,434
02112023-1334,NeustÃ€dter Tor,501,870,369
13112023-1250,NeustÃ€dter Tor,344,870,526
20112023-2050,NeustÃ€dter Tor,735,870,135
29102023-1650,NeustÃ€dter Tor,785,870,85
28102023-1735,NeustÃ€dter Tor,362,870,508
14112023-1131,NeustÃ€dter Tor,303,870,567
28102023-2051,NeustÃ€dter Tor,761,870,109
05112023-1820,NeustÃ€dter Tor,748,870,122
28102023-1801,NeustÃ€dter Tor,432,870,438
30102023-1426,NeustÃ€dter Tor,500,870,370
19112023-1435,NeustÃ€dter Tor,749,870,121
13112023-1051,NeustÃ€dter Tor,293,870,577
07112023-1521,NeustÃ€dter Tor,516,870,354
09112023-1645,NeustÃ€dter Tor,492,870,378
25102023-1545,NeustÃ€dter Tor,501,870,369
17112023-1446,NeustÃ€dter Tor,409,870,461
03112023-0945,NeustÃ€dter Tor,508,870,362
13112023-1921,NeustÃ€dter Tor,667,870,203
19112023-1250,NeustÃ€dter Tor,747,870,123
05112023-2011,NeustÃ€dter Tor,751,870,119
30102023-1734,NeustÃ€dter Tor,485,870,385
15112023-1204,NeustÃ€dter Tor,176,870,694
08112023-1541,NeustÃ€dter Tor,562,870,308
