timestamp,free_spaces,occupied_spaces,max_spaces
2023-10-24T19:50:00,120,79,199
2023-10-25T15:05:00,120,79,199
2023-10-25T15:35:00,120,79,199
2023-10-25T15:40:00,120,79,199
2023-10-25T15:45:00,120,79,199
2023-10-25T15:50:00,120,79,199
2023-10-25T15:55:00,120,79,199
2023-10-25T16:09:00,120,79,199
2023-10-25T16:20:00,120,79,199
2023-10-25T16:24:00,120,79,199
2023-10-25T16:29:00,120,79,199
2023-10-25T16:34:00,120,79,199
2023-10-25T16:41:00,120,79,199
2023-10-25T16:44:00,120,79,199
2023-10-25T16:49:00,120,79,199
2023-10-25T17:05:00,120,79,199
2023-10-25T17:15:00,120,79,199
2023-10-25T17:20:00,120,79,199
2023-10-25T17:25:00,120,79,199
2023-10-25T17:29:00,120,79,199
2023-10-25T17:35:00,120,79,199
2023-10-25T17:39:00,120,79,199
2023-10-25T17:56:00,120,79,199
2023-10-25T18:10:00,120,79,199
2023-10-25T18:20:00,120,79,199
2023-10-25T18:29:00,120,79,199
2023-10-25T18:34:00,120,79,199
2023-10-25T18:41:00,120,79,199
2023-10-25T18:45:00,120,79,199
2023-10-25T18:51:00,120,79,199
2023-10-25T18:55:00,120,79,199
2023-10-25T19:14:00,120,79,199
2023-10-25T19:19:00,120,79,199
2023-10-25T19:25:00,120,79,199
2023-10-25T19:31:00,120,79,199
2023-10-25T19:36:00,120,79,199
2023-10-25T19:40:00,120,79,199
2023-10-25T19:45:00,120,79,199
2023-10-25T19:50:00,120,79,199
2023-10-26T09:00:00,120,79,199
2023-10-26T09:11:00,120,79,199
2023-10-26T09:15:00,120,79,199
2023-10-26T09:20:00,120,79,199
2023-10-26T09:26:00,120,79,199
2023-10-26T09:31:00,120,79,199
2023-10-26T09:36:00,120,79,199
2023-10-26T09:40:00,120,79,199
2023-10-26T09:45:00,120,79,199
2023-10-26T09:51:00,120,79,199
2023-10-26T10:11:00,120,79,199
2023-10-26T10:20:00,120,79,199
2023-10-26T10:26:00,120,79,199
2023-10-26T10:31:00,120,79,199
2023-10-26T10:36:00,120,79,199
2023-10-26T10:41:00,120,79,199
2023-10-26T10:45:00,120,79,199
2023-10-26T10:51:00,120,79,199
2023-10-26T11:05:00,120,79,199
2023-10-26T11:16:00,120,79,199
2023-10-26T11:21:00,120,79,199
2023-10-26T11:26:00,120,79,199
2023-10-26T11:29:00,120,79,199
2023-10-26T11:34:00,120,79,199
2023-10-26T11:39:00,120,79,199
2023-10-26T11:45:00,120,79,199
2023-10-26T11:49:00,120,79,199
2023-10-26T12:04:00,120,79,199
2023-10-26T12:20:00,120,79,199
2023-10-26T12:25:00,120,79,199
2023-10-26T12:30:00,120,79,199
2023-10-26T12:35:00,120,79,199
2023-10-26T12:39:00,120,79,199
2023-10-26T12:44:00,120,79,199
2023-10-26T12:49:00,120,79,199
2023-10-26T13:00:00,120,79,199
2023-10-26T13:10:00,120,79,199
2023-10-26T13:14:00,120,79,199
2023-10-26T13:19:00,120,79,199
2023-10-26T13:25:00,120,79,199
2023-10-26T13:30:00,120,79,199
2023-10-26T13:35:00,120,79,199
2023-10-26T13:40:00,120,79,199
2023-10-26T13:44:00,120,79,199
2023-10-26T13:54:00,120,79,199
2023-10-26T14:15:00,120,79,199
2023-10-26T14:40:00,120,79,199
2023-10-26T14:50:00,120,79,199
2023-10-26T15:06:00,120,79,199
2023-10-26T15:20:00,120,79,199
2023-10-26T15:25:00,120,79,199
2023-10-26T15:30:00,120,79,199
2023-10-26T15:34:00,120,79,199
2023-10-26T15:39:00,120,79,199
2023-10-26T15:46:00,120,79,199
2023-10-26T15:50:00,120,79,199
2023-10-26T16:05:00,120,79,199
2023-10-26T16:15:00,120,79,199
2023-10-26T16:24:00,120,79,199
2023-10-26T16:30:00,120,79,199
2023-10-26T16:35:00,120,79,199
2023-10-26T16:40:00,120,79,199
2023-10-26T16:44:00,120,79,199
2023-10-26T16:51:00,120,79,199
2023-10-26T17:01:00,120,79,199
2023-10-26T17:10:00,120,79,199
2023-10-26T17:20:00,120,79,199
2023-10-26T17:24:00,120,79,199
2023-10-26T17:30:00,120,79,199
2023-10-26T17:35:00,120,79,199
2023-10-26T17:39:00,120,79,199
2023-10-26T17:45:00,120,79,199
2023-10-26T17:51:00,120,79,199
2023-10-26T18:06:00,120,79,199
2023-10-26T18:20:00,120,79,199
2023-10-26T18:30:00,120,79,199
2023-10-26T18:35:00,120,79,199
2023-10-26T18:40:00,120,79,199
2023-10-26T18:45:00,120,79,199
2023-10-26T18:50:00,120,79,199
2023-10-26T19:01:00,120,79,199
2023-10-26T19:11:00,120,79,199
2023-10-26T19:21:00,120,79,199
2023-10-26T19:25:00,120,79,199
2023-10-26T19:30:00,120,79,199
2023-10-26T19:35:00,120,79,199
2023-10-26T19:40:00,120,79,199
2023-10-26T19:46:00,120,79,199
2023-10-26T19:51:00,120,79,199
2023-10-26T20:05:00,120,79,199
2023-10-26T20:21:00,120,79,199
2023-10-26T20:25:00,120,79,199
2023-10-26T20:30:00,120,79,199
2023-10-26T20:35:00,120,79,199
2023-10-26T20:41:00,120,79,199
2023-10-26T20:46:00,120,79,199
2023-10-26T20:51:00,120,79,199
2023-10-27T09:05:00,120,79,199
2023-10-27T09:10:00,120,79,199
2023-10-27T09:15:00,120,79,199
2023-10-27T09:21:00,120,79,199
2023-10-27T09:26:00,120,79,199
2023-10-27T09:31:00,120,79,199
2023-10-27T09:36:00,120,79,199
2023-10-27T09:45:00,120,79,199
2023-10-27T09:50:00,120,79,199
2023-10-27T10:00:00,120,79,199
2023-10-27T10:15:00,120,79,199
2023-10-27T10:26:00,120,79,199
2023-10-27T10:31:00,120,79,199
2023-10-27T10:36:00,120,79,199
2023-10-27T10:41:00,120,79,199
2023-10-27T10:46:00,120,79,199
2023-10-27T10:50:00,120,79,199
2023-10-27T11:00:00,120,79,199
2023-10-27T11:10:00,120,79,199
2023-10-27T11:15:00,120,79,199
2023-10-27T11:20:00,120,79,199
2023-10-27T11:29:00,120,79,199
2023-10-27T11:34:00,120,79,199
2023-10-27T11:39:00,120,79,199
2023-10-27T11:44:00,120,79,199
2023-10-27T11:50:00,120,79,199
2023-10-27T12:00:00,120,79,199
2023-10-27T12:15:00,120,79,199
2023-10-27T12:24:00,120,79,199
2023-10-27T12:29:00,120,79,199
2023-10-27T12:34:00,120,79,199
2023-10-27T12:39:00,120,79,199
2023-10-27T12:44:00,120,79,199
2023-10-27T12:50:00,120,79,199
2023-10-27T13:00:00,120,79,199
2023-10-27T13:10:00,120,79,199
2023-10-27T13:15:00,120,79,199
2023-10-27T13:20:00,120,79,199
2023-10-27T13:24:00,120,79,199
2023-10-27T13:31:00,120,79,199
2023-10-27T13:34:00,120,79,199
2023-10-27T13:39:00,120,79,199
2023-10-27T13:44:00,120,79,199
2023-10-27T13:49:00,120,79,199
2023-10-27T14:10:00,120,79,199
2023-10-27T14:35:00,120,79,199
2023-10-27T14:50:00,120,79,199
2023-10-27T15:01:00,120,79,199
2023-10-27T15:16:00,120,79,199
